Sample No.,Well,Sample Name,Comment,Peak No.,Time (sec.),Height (mV),Area (mV·sec),Size (bp)/(nt),Attribute,Conc. (ng/µL),Migration Index (%),Area (mV·µm),Molarity (nmol/L),Start Index (%),End Index (%)
6,A5,A5,,5,105.36,14.57,32.53,-,(UM),-,100.00,67.56,-,92.87,104.19
7,A6,A6,,1,45.60,68.54,49.44,-,(LM),-,0.00,544.40,-,-1.65,2.00
7,A6,A6,,2,51.52,41.61,78.15,188,,15.91,10.20,663.41,127.03,8.82,15.26
7,A6,A6,,3,55.46,196.07,147.06,302,,26.23,16.98,1094.07,130.42,15.26,25.01
7,A6,A6,,4,67.02,1.64,1.66,644,,0.20,36.89,8.50,0.48,35.48,38.65
7,A6,A6,,5,103.66,12.15,24.39,-,(UM),-,100.00,52.14,-,95.11,104.20
8,A7,A7,,1,45.38,78.40,57.37,-,(LM),-,0.00,639.21,-,-1.84,1.76
8,A7,A7,,2,47.76,109.36,238.35,79,,31.87,4.28,2338.56,605.79,1.76,9.22
8,A7,A7,,3,56.70,737.06,510.30,354,,49.49,20.37,3631.02,209.91,17.75,26.82
8,A7,A7,,4,67.36,7.24,9.99,698,,0.69,39.56,50.31,1.48,37.44,42.19
8,A7,A7,,5,69.02,2.38,3.15,749,,0.20,42.55,14.91,0.41,42.19,46.44
8,A7,A7,,6,100.94,25.45,41.04,-,(UM),-,100.00,91.71,-,97.16,104.97
9,A8,A8,,1,45.58,70.10,58.78,-,(LM),-,0.00,648.89,-,-2.03,2.21
9,A8,A8,,2,47.96,41.94,55.21,78,,8.25,4.25,547.12,158.76,2.21,6.78
9,A8,A8,,3,57.40,392.29,289.73,367,,30.39,21.09,2015.84,124.32,16.74,28.02
9,A8,A8,,4,101.62,23.24,37.54,-,(UM),-,100.00,82.93,-,96.86,104.50
10,A9,A9,,1,45.48,72.30,59.79,-,(LM),-,0.00,662.81,-,-2.11,2.22
10,A9,A9,,2,47.82,41.85,58.56,77,,8.45,4.19,581.00,164.70,2.22,7.27
10,A9,A9,,3,57.20,420.26,302.27,365,,30.77,21.00,2116.86,126.59,16.55,29.17
10,A9,A9,,4,68.38,1.66,1.88,723,,0.13,41.02,9.21,0.28,39.41,43.14
10,A9,A9,,5,101.30,23.71,38.72,-,(UM),-,100.00,85.99,-,96.45,104.98
11,A10,A10,,1,45.54,67.08,56.94,-,(LM),-,0.00,630.28,-,-2.17,2.17
11,A10,A10,,2,47.94,25.60,37.14,79,,5.81,4.28,369.28,110.52,2.17,6.20
11,A10,A10,,3,57.20,263.00,193.73,361,,21.34,20.78,1355.34,88.77,16.93,28.97
11,A10,A10,,4,101.66,21.52,35.98,-,(UM),-,100.00,79.38,-,95.90,104.78
12,A11,A11,,1,45.16,73.51,56.57,-,(LM),-,0.00,635.45,-,-1.95,1.95
12,A11,A11,,2,56.26,680.16,490.61,355,,56.29,20.42,3544.14,238.08,17.77,29.62
12,A11,A11,,3,66.76,14.81,21.05,701,,1.71,39.74,107.90,3.67,37.49,42.60
12,A11,A11,,4,68.82,4.33,5.92,766,,0.45,43.52,28.17,0.88,43.16,48.20
12,A11,A11,,5,79.92,5.62,10.95,2021,,0.62,63.94,39.34,0.46,60.85,68.40
12,A11,A11,,6,99.52,23.03,34.19,-,(UM),-,100.00,78.70,-,97.39,104.67
13,A12,A12,,1,45.36,70.91,56.14,-,(LM),-,0.00,626.73,-,-2.10,1.77
13,A12,A12,,2,56.60,407.68,278.41,354,,30.94,20.35,1989.89,131.23,18.00,28.29
13,A12,A12,,3,67.50,1.92,2.08,707,,0.16,40.09,10.49,0.35,38.43,42.01
13,A12,A12,,4,100.58,23.08,35.62,-,(UM),-,100.00,80.40,-,96.63,104.31
14,B1,B1,,1,46.20,63.28,65.10,-,(LM),-,0.00,699.43,-,-2.25,2.51
14,B1,B1,,2,105.88,11.93,30.40,-,(UM),-,100.00,62.88,-,92.19,103.79
15,B2,B2,,1,46.16,63.88,65.00,-,(LM),-,0.00,700.35,-,-2.25,2.28
15,B2,B2,,2,57.56,62.11,55.89,339,,7.19,19.42,387.08,31.85,17.14,24.80
15,B2,B2,,3,104.86,14.00,31.86,-,(UM),-,100.00,67.28,-,92.30,104.02
16,B3,B3,,1,46.26,59.29,63.18,-,(LM),-,0.00,678.95,-,-2.42,2.46
16,B3,B3,,2,48.62,1.41,1.03,73,,0.22,3.97,10.03,4.62,2.96,5.12
16,B3,B3,,3,57.72,7.81,7.33,337,,1.13,19.29,50.31,5.02,17.88,21.28
16,B3,B3,,4,105.66,10.72,26.91,-,(UM),-,100.00,55.81,-,93.16,103.87
17,B4,B4,,1,47.72,62.20,70.60,-,(LM),-,0.00,704.60,-,-1.92,4.47
17,B4,B4,,2,50.62,6.23,7.86,99,,1.10,5.36,69.71,16.65,4.47,9.16
17,B4,B4,,3,101.86,22.42,36.03,-,(UM),-,100.00,79.36,-,96.08,104.17
18,B5,B5,,1,46.22,60.95,63.86,-,(LM),-,0.00,686.94,-,-2.35,2.45
18,B5,B5,,2,48.52,1.19,0.88,72,,0.17,3.91,8.62,3.44,2.82,4.80
18,B5,B5,,3,57.66,38.00,34.89,340,,4.61,19.46,241.04,20.37,16.87,21.46
18,B5,B5,,4,105.02,12.71,31.19,-,(UM),-,100.00,65.32,-,92.79,104.42
19,B6,B6,,1,46.20,61.79,63.98,-,(LM),-,0.00,688.66,-,-2.41,2.48
19,B6,B6,,2,48.44,5.72,4.90,70,,1.01,3.81,47.84,21.57,2.48,5.88
19,B6,B6,,3,50.52,0.57,0.66,129,,0.12,7.34,5.94,1.45,5.88,8.60
19,B6,B6,,4,57.58,55.48,49.79,338,,7.25,19.35,344.74,32.19,16.15,21.80
19,B6,B6,,5,105.02,12.56,28.34,-,(UM),-,100.00,59.46,-,94.53,103.37
20,B7,B7,,1,45.80,63.51,59.66,-,(LM),-,0.00,653.70,-,-2.32,2.39
20,B7,B7,,2,48.06,13.89,11.69,74,,1.79,4.03,116.33,36.30,2.39,6.31
20,B7,B7,,3,50.64,2.73,3.52,153,,0.49,8.62,31.65,4.78,6.31,9.98
20,B7,B7,,4,56.88,469.64,295.36,344,,32.21,19.74,2095.11,140.61,15.60,28.79
20,B7,B7,,5,101.94,21.85,36.95,-,(UM),-,100.00,81.29,-,95.90,104.24
21,B8,B8,,1,45.24,68.60,58.43,-,(LM),-,0.00,654.78,-,-2.33,2.30
21,B8,B8,,2,47.48,30.31,30.85,75,,4.77,4.08,313.15,95.50,2.30,7.18
21,B8,B8,,3,50.18,3.73,6.09,161,,0.84,9.00,54.94,7.80,7.36,12.17
21,B8,B8,,4,52.70,1.86,2.33,243,,0.29,13.59,19.31,1.82,12.17,15.77
21,B8,B8,,5,56.24,389.12,261.51,349,,28.88,20.04,1896.00,124.26,15.92,25.79
21,B8,B8,,6,100.14,24.65,36.03,-,(UM),-,100.00,82.06,-,96.36,104.15
22,B9,B9,,1,46.12,62.30,63.61,-,(LM),-,0.00,687.61,-,-2.40,2.37
22,B9,B9,,2,48.32,8.58,7.60,69,,1.26,3.78,74.51,27.52,2.37,6.01
22,B9,B9,,3,50.32,1.20,1.89,127,,0.29,7.21,16.91,3.39,6.01,10.26
22,B9,B9,,4,57.38,108.47,91.97,337,,10.89,19.33,641.36,48.50,15.62,23.27
22,B9,B9,,5,104.38,15.43,34.68,-,(UM),-,100.00,73.64,-,93.31,104.22
23,B10,B10,,1,45.44,69.47,59.35,-,(LM),-,0.00,659.21,-,-2.06,2.31
23,B10,B10,,2,47.70,35.27,33.72,75,,4.90,4.08,339.64,98.04,2.31,7.08
23,B10,B10,,3,50.36,2.90,4.26,158,,0.55,8.88,38.32,5.25,7.08,11.26
23,B10,B10,,4,52.42,1.95,2.83,227,,0.34,12.60,23.52,2.24,11.26,15.70
23,B10,B10,,5,56.42,498.00,300.29,345,,31.23,19.82,2165.97,135.92,15.99,25.34
23,B10,B10,,6,100.84,25.25,38.57,-,(UM),-,100.00,86.69,-,94.87,104.30
24,B11,B11,,1,45.50,67.15,58.56,-,(LM),-,0.00,649.29,-,-2.20,2.10
24,B11,B11,,2,47.78,33.55,48.01,76,,6.79,4.12,478.62,134.06,2.10,6.65
24,B11,B11,,3,56.44,459.41,285.76,344,,29.10,19.76,2052.73,127.03,16.51,27.78
24,B11,B11,,4,67.56,6.76,7.72,703,,0.55,39.85,38.67,1.17,38.33,42.41
24,B11,B11,,5,69.26,1.57,1.80,755,,0.12,42.92,8.49,0.24,42.41,45.74
24,B11,B11,,6,80.72,2.17,2.76,1980,,0.14,63.62,9.74,0.10,61.49,65.64
24,B11,B11,,7,100.86,27.04,39.26,-,(UM),-,100.00,88.17,-,97.25,104.08
25,B12,B12,,1,45.50,65.42,55.63,-,(LM),-,0.00,617.00,-,-2.07,1.96
25,B12,B12,,2,47.78,52.30,77.91,76,,11.84,4.14,777.37,233.97,1.96,6.46
25,B12,B12,,3,56.28,635.39,374.08,341,,41.18,19.56,2703.12,181.33,16.81,28.17
25,B12,B12,,4,67.22,12.62,13.90,695,,1.07,39.42,70.46,2.32,37.60,41.67
25,B12,B12,,5,68.96,2.81,5.11,749,,0.37,42.58,24.27,0.74,41.67,47.44
25,B12,B12,,6,80.12,4.88,6.96,1883,,0.38,62.83,24.90,0.30,60.33,65.70
25,B12,B12,,7,100.60,23.80,36.35,-,(UM),-,100.00,82.05,-,94.52,104.28
26,C1,C1,,1,45.38,68.59,56.47,-,(LM),-,0.00,628.62,-,-2.05,2.30
26,C1,C1,,2,47.72,19.70,26.01,77,,4.32,4.20,260.83,84.21,2.30,6.49
26,C1,C1,,3,50.40,15.68,27.87,161,,4.17,9.01,252.01,38.91,6.49,12.92
26,C1,C1,,4,52.66,1.62,1.09,234,,0.15,13.06,8.90,0.95,12.92,14.89
26,C1,C1,,5,54.68,9.03,8.17,297,,1.04,16.68,62.66,5.24,14.89,18.80
26,C1,C1,,6,56.82,33.86,23.44,357,,2.76,20.52,166.75,11.61,18.80,22.82
26,C1,C1,,7,101.12,22.56,33.81,-,(UM),-,100.00,75.50,-,97.13,104.34
27,C2,C2,,1,45.22,70.66,58.50,-,(LM),-,0.00,657.18,-,-2.11,2.08
27,C2,C2,,2,47.52,51.93,79.50,78,,11.44,4.26,800.67,220.24,2.08,6.78
27,C2,C2,,3,55.84,528.25,356.63,343,,37.38,19.68,2615.88,163.63,17.64,30.02
27,C2,C2,,4,99.18,27.19,37.72,-,(UM),-,100.00,87.48,-,96.92,104.89
28,C3,C3,,1,46.12,61.93,64.70,-,(LM),-,0.00,698.67,-,-2.32,2.49
28,C3,C3,,2,48.32,4.65,4.32,69,,0.86,3.76,42.31,18.74,2.49,5.74
28,C3,C3,,3,49.66,1.03,1.21,109,,0.22,6.05,11.00,3.09,5.74,8.58
28,C3,C3,,4,57.36,37.53,33.40,336,,4.74,19.21,232.72,21.17,17.46,21.60
28,C3,C3,,5,104.64,12.80,28.97,-,(UM),-,100.00,61.41,-,93.75,103.55
29,C4,C4,,1,45.38,63.98,56.65,-,(LM),-,0.00,631.05,-,-2.18,2.43
29,C4,C4,,2,47.60,16.60,14.67,74,,2.28,4.03,148.44,46.34,2.43,6.50
29,C4,C4,,3,50.26,4.31,4.92,158,,0.69,8.86,44.85,6.56,6.50,10.10
29,C4,C4,,4,57.56,746.95,432.29,385,,46.05,22.12,2993.18,179.61,17.94,28.44
29,C4,C4,,5,100.44,24.31,35.81,-,(UM),-,100.00,81.24,-,96.22,104.21
30,C5,C5,,1,45.52,65.06,56.33,-,(LM),-,0.00,625.11,-,-2.20,2.10
30,C5,C5,,2,47.68,36.68,40.13,71,,6.49,3.90,402.67,137.25,2.10,6.86
30,C5,C5,,3,49.60,5.52,1.88,130,,0.28,7.37,17.61,3.28,6.86,7.48
30,C5,C5,,4,52.08,1.95,1.89,216,,0.25,11.85,15.69,1.76,11.81,14.23
30,C5,C5,,5,57.80,552.39,325.12,386,,35.99,22.18,2233.18,140.00,17.77,27.10
30,C5,C5,,6,100.88,22.68,34.56,-,(UM),-,100.00,77.56,-,95.34,104.44
31,C6,C6,,1,46.08,62.17,63.78,-,(LM),-,0.00,689.36,-,-2.29,2.46
31,C6,C6,,2,48.22,7.68,7.04,67,,1.45,3.66,69.05,32.41,2.46,5.95
31,C6,C6,,3,49.94,1.27,1.77,117,,0.33,6.60,15.95,4.29,5.95,9.77
31,C6,C6,,4,58.86,64.91,61.38,380,,8.51,21.84,406.48,33.64,18.08,24.71
31,C6,C6,,5,104.60,12.93,28.16,-,(UM),-,100.00,59.69,-,94.63,103.14
32,C7,C7,,1,46.22,60.23,64.13,-,(LM),-,0.00,689.58,-,-2.49,2.73
32,C7,C7,,2,48.52,1.58,1.16,72,,0.25,3.93,11.39,5.23,2.73,5.02
32,C7,C7,,3,59.12,20.76,21.25,383,,3.07,22.02,139.56,12.04,19.56,24.14
32,C7,C7,,4,104.80,11.04,26.99,-,(UM),-,100.00,56.81,-,92.73,104.10
33,C8,C8,,1,46.02,60.21,62.13,-,(LM),-,0.00,672.56,-,-2.23,2.54
33,C8,C8,,2,48.20,5.72,4.79,69,,0.96,3.75,47.12,20.85,2.54,5.95
33,C8,C8,,3,50.14,0.70,0.93,125,,0.17,7.08,8.39,2.05,5.95,9.18
33,C8,C8,,4,58.78,75.35,68.23,381,,9.22,21.93,453.39,36.32,18.32,24.34
33,C8,C8,,5,104.20,13.22,28.84,-,(UM),-,100.00,61.49,-,93.33,103.58
34,C9,C9,,1,45.40,67.28,58.68,-,(LM),-,0.00,654.01,-,-2.26,2.19
34,C9,C9,,2,47.60,37.59,41.42,74,,5.89,4.02,417.04,119.44,2.19,6.75
34,C9,C9,,3,57.70,506.26,305.09,391,,29.68,22.45,2102.84,113.98,18.15,27.71
34,C9,C9,,4,100.18,26.43,38.91,-,(UM),-,100.00,88.56,-,96.57,104.45
35,C10,C10,,1,45.46,64.90,59.09,-,(LM),-,0.00,655.91,-,-2.42,2.39
35,C10,C10,,2,47.60,19.54,17.47,71,,2.53,3.87,176.14,53.58,2.39,6.59
35,C10,C10,,3,50.22,3.51,4.66,153,,0.61,8.61,42.37,5.98,6.59,10.64
35,C10,C10,,4,52.12,2.33,5.05,219,,0.60,12.05,41.73,4.11,10.64,17.12
35,C10,C10,,5,57.72,638.80,370.17,386,,36.69,22.19,2550.59,142.71,17.12,30.26
35,C10,C10,,6,100.72,25.97,38.57,-,(UM),-,100.00,86.90,-,95.33,104.09
36,C11,C11,,1,45.32,67.97,58.33,-,(LM),-,0.00,651.52,-,-2.34,2.26
36,C11,C11,,2,47.50,33.94,31.27,73,,4.96,3.98,317.54,102.11,2.26,6.83
36,C11,C11,,3,50.22,3.65,4.72,160,,0.67,8.94,42.71,6.27,7.12,11.28
36,C11,C11,,4,51.96,1.74,2.89,220,,0.38,12.12,24.08,2.57,11.28,15.63
36,C11,C11,,5,55.84,565.65,329.33,336,,37.88,19.20,2422.92,169.27,15.63,21.50
36,C11,C11,,6,57.24,1.92,2.26,378,,0.24,21.76,15.43,0.96,21.50,26.54
36,C11,C11,,7,100.10,24.45,35.06,-,(UM),-,100.00,79.96,-,96.57,104.42
37,C12,C12,,1,45.56,66.67,59.83,-,(LM),-,0.00,661.65,-,-2.19,2.12
37,C12,C12,,2,47.76,45.76,55.50,73,,8.10,3.96,553.38,166.58,2.12,6.76
37,C12,C12,,3,49.58,12.34,0.97,127,,0.13,7.23,9.11,1.58,7.12,7.23
37,C12,C12,,4,58.00,353.36,217.68,389,,21.73,22.37,1484.81,83.88,18.35,28.81
37,C12,C12,,5,101.16,25.13,38.30,-,(UM),-,100.00,85.41,-,96.44,104.35
38,D1,D1,,1,45.54,66.24,58.18,-,(LM),-,0.00,643.65,-,-2.03,2.28
38,D1,D1,,2,58.24,66.44,46.45,394,,4.58,22.62,314.38,17.46,21.02,25.29
38,D1,D1,,3,101.68,23.67,38.74,-,(UM),-,100.00,85.79,-,94.91,104.28
39,D2,D2,,1,45.48,65.95,58.34,-,(LM),-,0.00,648.18,-,-2.24,2.24
39,D2,D2,,2,47.66,28.25,31.02,72,,4.67,3.94,311.23,97.39,2.24,6.50
39,D2,D2,,3,57.90,414.78,249.63,390,,25.63,22.42,1707.99,98.67,18.01,28.34
39,D2,D2,,4,100.88,24.67,37.02,-,(UM),-,100.00,83.31,-,95.42,104.12
40,D3,D3,,1,45.52,65.75,59.74,-,(LM),-,0.00,662.01,-,-2.35,2.32
40,D3,D3,,2,47.72,22.94,22.04,73,,3.17,3.98,221.52,65.25,2.32,6.51
40,D3,D3,,3,50.24,3.57,5.75,151,,0.75,8.54,52.44,7.47,6.51,10.68
40,D3,D3,,4,57.82,598.39,347.79,387,,34.19,22.26,2387.36,132.65,16.97,30.37
40,D3,D3,,5,100.78,26.43,38.75,-,(UM),-,100.00,87.28,-,96.06,104.23
41,D4,D4,,1,46.18,61.26,64.67,-,(LM),-,0.00,697.27,-,-2.38,2.59
41,D4,D4,,2,48.32,2.25,1.71,67,,0.36,3.64,16.75,8.08,2.59,5.21
41,D4,D4,,3,58.98,22.36,22.38,379,,3.18,21.78,147.65,12.60,19.77,23.72
41,D4,D4,,4,104.96,11.79,27.48,-,(UM),-,100.00,58.04,-,93.77,103.44
42,D5,D5,,1,45.96,61.60,63.49,-,(LM),-,0.00,691.55,-,-3.18,2.41
42,D5,D5,,2,48.06,8.73,7.73,67,,1.45,3.67,76.43,32.42,2.41,6.01
42,D5,D5,,3,50.00,1.18,1.70,124,,0.29,7.06,15.35,3.52,6.01,10.14
42,D5,D5,,4,58.60,87.96,73.25,384,,9.28,22.10,490.22,36.28,17.94,25.03
42,D5,D5,,5,103.16,15.26,30.52,-,(UM),-,100.00,66.04,-,93.46,104.06
43,D6,D6,,1,45.50,65.86,58.58,-,(LM),-,0.00,649.72,-,-2.21,2.28
43,D6,D6,,2,47.66,25.13,24.62,72,,3.44,3.91,247.52,71.83,2.28,6.81
43,D6,D6,,3,50.26,3.32,4.93,153,,0.63,8.63,44.92,6.13,6.81,10.91
43,D6,D6,,4,51.82,1.31,1.77,211,,0.21,11.45,14.87,1.47,10.91,13.99
43,D6,D6,,5,57.82,551.82,315.34,388,,30.14,22.33,2166.07,116.64,17.83,26.82
43,D6,D6,,6,100.68,27.10,39.85,-,(UM),-,100.00,89.83,-,95.90,104.13
44,D7,D7,,1,45.42,64.72,58.30,-,(LM),-,0.00,648.46,-,-2.28,2.31
44,D7,D7,,2,47.60,24.00,27.42,72,,3.95,3.94,275.08,82.45,2.31,7.02
44,D7,D7,,3,51.82,1.57,1.87,213,,0.23,11.57,15.72,1.59,11.18,13.92
44,D7,D7,,4,53.36,1.15,0.93,255,,0.11,14.36,7.41,0.63,13.92,16.64
44,D7,D7,,5,57.80,364.77,220.59,390,,21.78,22.39,1515.20,83.85,17.03,28.32
44,D7,D7,,6,100.72,26.53,38.59,-,(UM),-,100.00,86.97,-,96.17,104.38
45,D8,D8,,1,45.48,66.32,59.48,-,(LM),-,0.00,660.76,-,-2.24,2.31
45,D8,D8,,2,47.64,20.62,19.10,71,,2.74,3.89,192.58,58.00,2.31,6.56
45,D8,D8,,3,50.30,3.02,4.01,154,,0.52,8.69,36.40,5.05,6.56,10.89
45,D8,D8,,4,51.82,1.31,2.15,211,,0.25,11.43,17.89,1.81,10.89,15.39
45,D8,D8,,5,57.94,411.28,243.54,391,,23.73,22.46,1666.34,91.13,17.77,26.68
45,D8,D8,,6,100.96,25.83,39.16,-,(UM),-,100.00,87.77,-,95.60,104.40
46,D9,D9,,1,45.60,65.47,60.80,-,(LM),-,0.00,670.00,-,-2.18,2.40
46,D9,D9,,2,47.86,18.31,19.36,74,,2.83,4.04,193.02,57.42,2.40,6.59
46,D9,D9,,3,58.14,310.19,196.42,390,,19.57,22.44,1334.76,75.34,17.18,27.99
46,D9,D9,,4,101.48,24.89,38.41,-,(UM),-,100.00,85.26,-,96.17,104.26
47,D10,D10,,1,45.52,65.61,58.95,-,(LM),-,0.00,652.79,-,-2.20,2.31
47,D10,D10,,2,47.72,25.07,24.97,73,,3.75,3.97,250.80,77.09,2.31,6.56
47,D10,D10,,3,50.28,3.54,5.82,152,,0.79,8.58,52.92,7.81,6.56,11.11
47,D10,D10,,4,52.48,1.71,2.62,227,,0.32,12.55,21.59,2.13,11.11,16.08
47,D10,D10,,5,57.44,487.89,282.62,374,,29.39,21.49,1966.94,118.00,16.95,26.51
47,D10,D10,,6,100.98,24.36,37.21,-,(UM),-,100.00,83.65,-,95.96,104.08
48,D11,D11,,1,46.04,62.16,64.84,-,(LM),-,0.00,702.64,-,-2.50,2.53
48,D11,D11,,2,48.20,4.82,4.07,69,,0.77,3.75,40.10,16.71,2.53,5.90
48,D11,D11,,3,50.12,0.69,0.77,125,,0.13,7.08,7.01,1.61,5.90,8.61
48,D11,D11,,4,58.26,69.26,63.22,369,,8.19,21.22,427.77,33.34,17.74,25.24
48,D11,D11,,5,103.64,13.63,30.54,-,(UM),-,100.00,65.26,-,94.27,104.27
49,D12,D12,,1,45.56,65.23,59.30,-,(LM),-,0.00,656.24,-,-2.31,2.13
49,D12,D12,,2,47.72,35.62,44.36,71,,6.46,3.90,442.90,136.54,2.13,6.39
49,D12,D12,,3,57.38,578.73,324.17,371,,32.89,21.35,2256.43,133.12,17.70,29.41
49,D12,D12,,4,68.42,6.20,9.39,727,,0.66,41.29,45.33,1.36,39.38,47.72
49,D12,D12,,5,82.76,2.43,3.53,2485,,0.17,67.20,11.79,0.10,65.10,70.38
49,D12,D12,,6,100.92,26.64,38.18,-,(UM),-,100.00,85.75,-,96.42,103.94
50,E1,E1,,1,45.90,65.40,64.22,-,(LM),-,0.00,700.33,-,-2.31,2.17
50,E1,E1,,2,58.02,141.00,113.55,369,,12.91,21.22,774.33,52.54,17.86,27.80
50,E1,E1,,3,103.02,17.72,34.46,-,(UM),-,100.00,74.96,-,94.33,103.68
51,E2,E2,,1,46.18,61.89,65.77,-,(LM),-,0.00,708.37,-,-2.43,2.67
51,E2,E2,,2,57.16,1.51,1.20,326,,0.17,18.56,8.40,0.79,17.44,20.05
51,E2,E2,,3,105.34,11.49,29.18,-,(UM),-,100.00,61.16,-,91.75,103.75
52,E3,E3,,1,46.14,60.68,64.62,-,(LM),-,0.00,696.75,-,-2.46,2.69
52,E3,E3,,2,48.38,2.04,1.63,70,,0.32,3.82,15.94,6.82,2.69,5.32
52,E3,E3,,3,58.42,31.03,30.83,364,,4.13,20.94,207.31,17.04,17.87,23.53
52,E3,E3,,4,104.78,12.41,29.63,-,(UM),-,100.00,62.73,-,93.14,103.82
53,E4,E4,,1,46.14,58.76,62.75,-,(LM),-,0.00,676.38,-,-2.28,2.55
53,E4,E4,,2,58.78,4.94,4.86,373,,0.71,21.47,32.26,2.87,19.91,23.31
53,E4,E4,,3,105.00,11.51,26.86,-,(UM),-,100.00,56.59,-,94.26,103.33
54,E5,E5,,1,45.36,67.40,57.91,-,(LM),-,0.00,645.87,-,-2.19,2.19
54,E5,E5,,2,47.60,37.55,47.30,75,,7.38,4.08,475.56,147.83,2.19,6.81
54,E5,E5,,3,57.18,546.47,311.60,374,,33.93,21.54,2185.31,136.23,16.84,28.79
54,E5,E5,,4,100.24,24.65,35.42,-,(UM),-,100.00,80.50,-,96.50,104.30
55,E6,E6,,1,46.26,60.90,65.10,-,(LM),-,0.00,699.12,-,-2.35,2.56
55,E6,E6,,2,48.50,1.08,0.75,70,,0.15,3.82,7.32,3.28,2.73,4.77
55,E6,E6,,3,58.64,15.46,15.95,367,,2.22,21.09,106.44,9.10,19.22,23.10
55,E6,E6,,4,104.96,11.34,28.49,-,(UM),-,100.00,59.84,-,93.53,104.19
56,E7,E7,,1,46.06,62.06,63.75,-,(LM),-,0.00,690.08,-,-2.39,2.46
56,E7,E7,,2,48.26,6.17,6.18,70,,1.19,3.81,60.71,25.57,2.46,5.71
56,E7,E7,,3,49.96,1.98,2.90,119,,0.52,6.75,26.29,6.52,5.71,10.53
56,E7,E7,,4,56.62,54.97,44.04,321,,6.19,18.28,315.08,28.94,16.48,20.95
56,E7,E7,,5,103.82,14.38,29.59,-,(UM),-,100.00,63.65,-,93.91,103.19
